#{"t_start": 1780913933.79048, "env_id": "highway-fast-v0"}
r,l,t
20.08688,28,114.918166
20.886842,30,115.333636
22.215705,30,115.751583
10.999383,13,115.931784
22.319543,30,116.344928
20.686882,30,116.75331
15.085994,23,117.067698
3.466322,5,117.13908
21.019023,30,117.576616
17.996504,24,117.909774
25.011957,30,118.330837
20.286264,30,118.749831
19.253554,27,119.127895
2.915471,4,119.185635
1.915775,3,119.230787
22.286881,30,119.64789
16.066357,19,119.926363
21.153549,30,120.344328
13.413048,17,120.577808
4.020221,7,120.680108
16.178464,22,120.985306
1.865423,3,121.033781
11.20011,14,121.229642
8.553247,13,121.413006
9.382441,11,121.568445
20.386538,30,121.970569
23.94494,30,122.392588
20.835728,29,122.809126
20.920221,30,123.216036
12.949155,19,123.478794
22.385068,30,123.898333
10.212838,12,124.067781
10.086845,15,124.279097
22.119566,30,124.68998
19.497795,26,125.094232
2.51608,4,125.155052
7.813159,10,125.293784
2.782442,4,125.353364
20.186888,30,125.766957
23.051734,30,126.180968
20.014142,26,126.544482
21.352577,30,127.112734
5.049459,8,127.225173
13.812697,20,127.509308
8.80035,12,127.680641
22.419558,30,128.088195
23.43213,30,128.501655
22.002618,30,128.918395
22.219602,30,129.335155
5.28366,8,129.449411
22.152039,30,129.870853
22.086882,30,130.279426
19.030982,27,130.652753
9.867017,14,130.857141
23.616893,30,131.27409
15.06933,23,131.976717
5.764005,7,132.149297
20.286887,30,132.562796
13.348565,19,132.825028
22.086221,30,133.233243
22.783682,30,133.657871
20.248559,29,134.055045
2.433333,4,134.111939
20.553549,30,134.525702
20.686888,30,134.940321
3.446796,5,135.009816
16.2,21,135.30521
22.286888,30,135.712053
8.202611,12,135.881872
1.765041,3,135.929898
21.413465,30,136.342912
21.153555,30,136.754212
6.533333,9,136.8841
23.786226,30,137.297318
9.419327,15,137.512049
22.66933,30,137.916987
20.402663,30,138.330295
3.78427,6,138.422074
7.253045,9,138.552427
5.668395,8,138.668012
23.351242,30,139.088413
18.635373,24,139.422983
21.635953,30,139.835051
21.353555,30,140.253113
22.419287,30,140.674212
6.353554,10,140.814559
23.602656,30,141.226604
21.420221,30,141.784795
20.052661,30,142.211297
20.866358,29,142.647176
23.07978,30,143.059854
7.086881,10,143.205702
22.40004,30,143.626589
22.748756,30,144.039553
11.066405,15,144.245655
21.718711,30,144.65982
21.886882,30,145.075428
22.585348,30,145.494504
22.286888,30,145.909986
22.019598,30,146.324814
22.32022,30,146.735734
22.785993,30,147.15139
22.583615,30,147.567712
24.800001,30,147.989751
5.733684,9,148.120303
22.151242,30,148.543521
17.144901,23,148.868984
23.067513,30,149.292629
22.685097,30,149.692696
20.020221,30,150.099596
22.686888,30,150.508253
21.953092,30,150.931526
20.153555,30,151.34682
22.686887,30,151.749283
22.366083,30,152.158275
11.350632,15,152.366573
20.953554,30,152.779687
1.766045,3,152.824231
20.153549,30,153.233761
13.386887,20,153.519593
22.553555,30,153.934823
20.753555,30,154.345579
20.053554,30,154.758689
17.219917,26,155.123345
22.402663,30,155.541096
3.2,5,155.615598
21.619327,30,156.172165
20.553555,30,156.600542
24.419917,30,157.031568
22.402358,30,157.455206
14.266713,18,157.712766
22.420221,30,158.119489
21.91956,30,158.532103
22.953549,30,158.946462
20.952937,30,159.360305
22.585994,30,159.796238
23.084535,30,160.212416
21.720221,30,160.622365
22.953549,30,161.048954
20.782752,30,161.504509
22.468249,29,161.911538
10.953554,14,162.10909
8.719362,11,162.268452
20.779546,29,162.675083
22.120219,30,163.096116
20.951506,30,163.509596
22.420221,30,163.926021
22.786539,30,164.335896
20.919327,30,164.758676
22.785599,30,165.219134
22.420221,30,165.626238
22.553555,30,166.042216
22.82022,30,166.453082
21.186883,30,166.865623
13.551739,19,167.136421
22.286888,30,167.553651
22.686888,30,167.970647
16.786264,24,168.307955
20.686887,30,168.717679
22.153555,30,169.132238
4.019552,6,169.221838
9.267017,13,169.401212
20.66933,30,169.822736
21.819908,30,170.242626
23.068666,30,170.82427
22.686265,30,171.252712
2.550892,4,171.317126
6.530677,9,171.449604
20.933684,30,171.865263
22.731017,30,172.276581
11.869324,16,172.519031
20.920221,30,172.928379
20.619283,30,173.333168
22.135996,30,173.746805
21.584414,30,174.160347
21.120214,30,174.574518
22.933684,30,174.981567
20.620221,30,175.387511
12.402663,18,175.641098
21.820221,30,176.057958
22.286882,30,176.478663
14.782792,20,176.751292
22.2176,30,177.159842
22.153552,30,177.580661
20.553555,30,177.994984
20.419598,30,178.405154
23.735996,30,178.817468
20.686888,30,179.238257
20.95325,30,179.643113
10.450938,14,179.840019
20.383681,30,180.246735
19.449459,26,180.603135
23.152263,30,181.016242
7.469283,10,181.160381
22.753555,30,181.573138
21.600351,30,181.991411
23.032993,30,182.405644
20.753555,30,182.821132
17.030722,23,183.138938
14.669324,20,183.425794
22.686618,30,183.84188
13.699692,19,184.111802
7.686883,11,184.263094
6.932699,9,184.391073
21.053554,30,184.803059
22.53599,30,185.417862
21.886888,30,185.839418
21.620215,30,186.258485
22.052942,30,186.67226
23.051741,30,187.087844
22.553555,30,187.508346
20.635723,30,187.922725
5.132826,7,188.02457
22.953555,30,188.453105
10.819597,14,188.648353
10.066046,15,188.858887
22.953555,30,189.280394
12.252397,18,189.533059
19.800351,27,189.917598
23.219831,30,190.325742
23.220221,30,190.742821
20.286888,30,191.155359
2.046796,3,191.198612
3.97978,5,191.275561
6.800112,8,191.393143
22.952932,30,191.815541
21.986426,30,192.231214
22.385652,30,192.650919
22.95292,30,193.063539
22.864179,30,193.481409
21.251985,30,193.890181
21.086264,30,194.308341
23.732989,30,194.742795
21.086264,30,195.151944
22.012646,30,195.562851
22.053516,30,195.975825
4.502039,7,196.078024
8.269329,12,196.248933
22.653087,30,196.670195
20.666713,30,197.088468
20.832751,29,197.499318
23.846842,30,197.916292
9.669283,13,198.103454
22.218699,30,198.524417
20.420221,30,198.936172
23.602663,30,199.514981
13.13338,17,199.770219
6.779662,9,199.89859
19.269329,25,200.244548
15.267389,21,200.536404
23.486881,30,200.956759
22.653212,30,201.371379
20.519598,30,201.786689
19.180176,26,202.143224
23.886887,30,202.560595
23.197734,30,202.984814
22.553555,30,203.403464
22.768436,30,203.829563
13.597638,19,204.097755
22.135373,30,204.512929
20.953555,30,204.96669
10.169329,15,205.178931
21.119328,30,205.590609
22.820221,30,206.006254
21.135384,30,206.43279
22.986576,30,206.841842
4.845367,6,206.932899
5.046446,6,207.021574
9.730677,13,207.206054
15.98017,22,207.510808
16.783575,24,207.840666
22.686264,30,208.269989
20.686319,27,208.643623
6.119913,10,208.785724
22.044699,30,209.205204
6.000006,9,209.336896
22.91671,30,209.748408
5.11987,7,209.852189
25.086888,30,210.279115
21.519593,30,210.696227
23.38423,30,211.124596
22.420221,30,211.551116
24.129782,30,211.973776
22.933222,30,212.393205
22.250058,30,212.803856
24.401095,30,213.219292
5.633333,8,213.333532
8.266667,12,213.51059
20.55325,30,214.084201
10.683648,14,214.286578
22.850938,30,214.700754
23.02022,30,215.118411
21.814891,30,215.529304
18.43182,24,215.861516
4.530671,6,215.950348
22.667017,30,216.361942
22.232445,30,216.77891
5.179825,7,216.878645
21.434642,30,217.297139
22.353512,30,217.72259
21.51716,30,218.149276
8.733678,13,218.337982
9.345645,14,218.543638
20.420221,30,218.951991
11.200351,16,219.176908
21.320216,30,219.600149
20.686888,30,220.010689
6.253549,10,220.15153
20.253555,30,220.565777
14.515769,20,220.853121
6.397337,8,220.968354
22.785654,30,221.385542
19.246182,25,221.732475
23.353555,30,222.151541
23.351242,30,222.57661
14.782792,20,222.851291
22.320178,30,223.267594
15.120221,21,223.570014
16.386574,22,223.876154
22.568069,30,224.331622
21.265776,30,224.735288
22.485994,30,225.189917
21.986583,30,225.6045
